algoritmo,varianza,instancia,tiempo_ms,podas
bt,baja,0,101.939,1.51591e+06
fb,baja,0,952.738,0
pd,baja,0,0.151491,0
bt,baja,1,93.4845,1.5159e+06
fb,baja,1,945.876,0
pd,baja,1,0.150058,0
bt,baja,2,93.4808,1.51589e+06
fb,baja,2,948.926,0
pd,baja,2,0.1541,0
bt,baja,3,93.5956,1.5159e+06
fb,baja,3,948.657,0
pd,baja,3,0.151125,0
bt,baja,4,93.5949,1.51589e+06
fb,baja,4,952.242,0
pd,baja,4,0.151809,0
bt,media,0,5.1272,77724
fb,media,0,958.554,0
pd,media,0,0.152592,0
bt,media,1,0.844133,12982
fb,media,1,939.011,0
pd,media,1,0.151325,0
bt,media,2,1.77553,26427
fb,media,2,942.731,0
pd,media,2,0.152375,0
bt,media,3,4.16978,63956
fb,media,3,955.713,0
pd,media,3,0.1548,0
bt,media,4,5.89928,90621
fb,media,4,964.488,0
pd,media,4,0.1498,0
bt,alta,0,0.336975,4805
fb,alta,0,978.11,0
pd,alta,0,0.151234,0
bt,alta,1,1.02956,15651
fb,alta,1,1007.63,0
pd,alta,1,0.154467,0
bt,alta,2,0.558283,8006
fb,alta,2,975.59,0
pd,alta,2,0.152417,0
bt,alta,3,0.6014,8982
fb,alta,3,978.821,0
pd,alta,3,0.153608,0
bt,alta,4,0.509025,7208
fb,alta,4,974.886,0
pd,alta,4,0.151817,0
